epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.032,1.04612,2.55333,1.53421,0.37476,0.54528,0.36702,0.20249,1.4345,2.34264,1.92606,0.0033156,0.0033156,0.0033156
2,199.265,1.05278,2.00927,1.5136,0.378,0.55154,0.41789,0.22883,1.42698,2.12726,2.06051,0.00662699,0.00662699,0.00662699
3,295.881,1.13929,1.88479,1.56661,0.36969,0.40494,0.3021,0.14051,1.59996,2.5181,2.3228,0.00991639,0.00991639,0.00991639
4,389.629,1.2167,1.83663,1.62837,0.38797,0.52372,0.38935,0.2177,1.52807,2.06821,2.12236,0.009901,0.009901,0.009901
5,483.72,1.2312,1.77342,1.63804,0.34204,0.54052,0.37671,0.19589,1.50398,2.03437,2.14704,0.009868,0.009868,0.009868
6,578.221,1.19708,1.69369,1.62132,0.40105,0.62866,0.48277,0.30419,1.32772,1.66163,1.94525,0.009835,0.009835,0.009835
7,672.079,1.16925,1.6184,1.58045,0.54108,0.55823,0.52777,0.33276,1.36363,1.66867,1.94753,0.009802,0.009802,0.009802
8,766.196,1.1531,1.56746,1.57837,0.39671,0.65752,0.49452,0.2948,1.3519,1.67633,1.94227,0.009769,0.009769,0.009769
9,858.971,1.14435,1.54364,1.57132,0.43028,0.65096,0.53566,0.35177,1.24425,1.61234,1.81426,0.009736,0.009736,0.009736
10,953.471,1.13299,1.5236,1.56302,0.47272,0.53098,0.48288,0.28729,1.42292,1.78477,2.01189,0.009703,0.009703,0.009703
11,1046.84,1.11731,1.50554,1.54927,0.43691,0.64169,0.57235,0.36452,1.24411,1.50066,1.84329,0.00967,0.00967,0.00967
12,1139.15,1.10703,1.47063,1.54318,0.54855,0.6636,0.59725,0.3851,1.22875,1.38833,1.80271,0.009637,0.009637,0.009637
13,1231.87,1.08471,1.44039,1.52963,0.49833,0.66277,0.59552,0.38009,1.22116,1.39968,1.81385,0.009604,0.009604,0.009604
14,1323.2,1.08168,1.44008,1.52915,0.56008,0.64953,0.62263,0.40827,1.19627,1.30421,1.76566,0.009571,0.009571,0.009571
